Id,Label,uid,lname,Component ID,Eigenvector Centrality,Degree,Clustering Coefficient,Number of triangles,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank
1325,Bad,6F0uGYwpJUGxhlMO6C3r_g,L.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1343,,,,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1344,Doug,asL1d04xS3y8YQtU5ota-g,T.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1346,Tracy,UMHC0kzV6TS8O6HLb5mpYw,K.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1347,Steve,YztPBAV6L8e0Te_3_Q-PGQ,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1350,Yuan,VkSUizrGQKl5IIBIIXCFIQ,W.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1351,Noor,CEoMgtYwcskmU6VOeDAwVw,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1354,Jessica,wHAxtj5Gbk9xywIJRrzcKQ,P.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1355,Scott,Z128ihQea7BLPh2T9q9sKA,W.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1363,Nikki,MCTmcFSTp4Xewa5UM-mbMA,F.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1365,April,eANbpTWkTR10zz6Dqx2A2Q,R.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1366,Cassandra,a-x7UEB0pREhblYRP1Cj-g,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1367,Megan,0V4Ra6jCmSAgFtCiORr4QA,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1368,Julia,zDltf7SGyDANcA6ndZkF7A,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1369,Brian,kgUlckbRyHvMD_78NoXE9w,F.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1371,Melissa,R1RDHafKh9T426DijeRixA,A.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1372,Sunny,sTcYq6goD1Fa2WS9MSkSvQ,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1373,Edwin,BIyo1Hf23H6EIujLSYzw2g,R.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1375,Di,iOhD8xrXFO18VsttgvnXUA,T.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1377,Arlin,0mKUbIUXOvH0cHcGQ1KGqg,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1378,Julie,dLWDy4yzVzMQuhjoEcRO0g,P.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1379,Alma,GBvMgBa-7XhNSPz6Zks_vw,S.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1380,Jennifer,OyLtK_Q2I4Jw0rtfFnLfhg,W.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1383,Aly,5cd9IdAV9Dce3BdRDh9qCQ,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1385,David,I9_Eevm2Be99teo5v9qNwg,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1386,Natalie,avmRUkWovTsaDqKiNKdivQ,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1388,Emily,wQ7nlVwAKuEit9EOdU4QFg,T.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1389,Rob,aUKAZyfQWqPLpQ0WpCzpqg,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1392,Daniel,L5uq2v3GnGiYi6DzO2KunA,R.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1394,Jennifer,G7vL7L42Vzr5cDPXeLpXfA,S.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1396,Sharon,rCx7tb3toOJUsvdOeqYY0g,V.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1397,Lola,jMgQQwSLjyqSvckG_DvZIw,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1398,Gary,UOMSN12IGpju4sKwIJQE_Q,E.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1399,D'Lisa,2gu5B_JbJlfZLhihSr-apQ,L.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1400,Lo,2orGLHUP7_R-toDvEffndw,J.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1401,Dave,mbdtyUUzZZx5ld1Qc4iGtQ,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1403,Laura,t8a4wTKqHjF6b_6VqBfr8A,M.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1404,Sam,Cvvu2V_FO3FjxIHpartSMg,N.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1405,Penny,DKdttAvXagfAfNFIKeApuw,Lane,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1406,Shon,CbHXrH-CHM8egdKYAxqaPQ,P.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1407,Kate,x3hyh8K4XIAyJ_K39fpOuw,F.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1408,Dan,PukPcTf_vAgG9eJoMPs0-A,E.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1409,Farbod,tVcLhjhzq7YwUIU-HgQ95Q,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1410,Dana,ow6ecGXdQvKBQBxOusrC-Q,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1411,Georgeann,ZyNaPQFOsaKOOLHTFVAdZw,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1412,Chris,uZdFsE_aHbFBChgN6Xa8tw,L.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1414,Guy,7cmEMOLyD4GS1XbjctJpoQ,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1415,Allison,ytBmywuQxFzETrrYmSrE-Q,R.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1416,Larry,Sg0TMTIkaBXYGKMbEI2VnQ,O.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1417,Tonya,Bsbumyr3Of8BauN2URK4bg,P.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1418,Margaret,G4KO5vJlwJEmEy3urXVGxw,G.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1421,F,KDb7ej6DK3D0IKS6LuUZHA,N.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1422,Po,Ui3BHoWsFnLhFI3v76M5fw,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1423,Michelle,iMMePWzFMopTJbIol_ecxw,C.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
