Source,Target,Type,Id,Label,Weight
Zhewei_Zhang_9223366,Ying_Liu_1323164476,Undirected,924,,1
Zhewei_Zhang_9223366,Jinyoung_Min_100001461591869,Undirected,1755,,1
Zhewei_Zhang_9223366,Wenjuan_Yuan_100002798135050,Undirected,2448,,1
Zhewei_Zhang_9223366,Alvin_Zheng_100006568625465,Undirected,2723,,1
Hoon_S._Cha_10138420,Dongwon_Lee_100000872817953,Undirected,1388,,1
Hoon_S._Cha_10138420,Young-Chan_Lee_100001327248108,Undirected,1674,,1
Hoon_S._Cha_10138420,Jungpil_Hahn_100001441813805,Undirected,1716,,1
Hoon_S._Cha_10138420,Yong_Jin_Kim_100001724755903,Undirected,1982,,1
Hoon_S._Cha_10138420,Byungjoon_Yoo_100003837286675,Undirected,2675,,1
Jong_Seok_Lee_10141494,Hoon_S._Cha_10138420,Undirected,93,,1
Hasang_Cheon_11516529,Hyunmyung_Timothy_Dho_1005633808,Undirected,685,,1
Karim_Traboulsi_13621246,Sagar_Bhadra_10503828,Undirected,97,,1
Karim_Traboulsi_13621246,Laura_Buhler_120601075,Undirected,122,,1
Karim_Traboulsi_13621246,Grace_Ga-Eun_Oh_1339907315,Undirected,939,,1
Noelle_Teh_17802707,Kevin_Yili_Hong_1050352559,Undirected,790,,1
Noelle_Teh_17802707,Ying_Liu_1323164476,Undirected,925,,1
Noelle_Teh_17802707,Sungyong_Um_100001029973935,Undirected,1484,,1
Noelle_Teh_17802707,Wenjuan_Yuan_100002798135050,Undirected,2449,,1
Sally_G_21010151,Karim_Traboulsi_13621246,Undirected,119,,1
Sally_G_21010151,Vaclav_Sedlacek_1078584864,Undirected,822,,1
Sally_G_21010151,Grace_Ga-Eun_Oh_1339907315,Undirected,940,,1
Muzi_Guo_21012401,Sagar_Bhadra_10503828,Undirected,98,,1
Muzi_Guo_21012401,Karim_Traboulsi_13621246,Undirected,120,,1
Muzi_Guo_21012401,Sally_G_21010151,Undirected,156,,1
Muzi_Guo_21012401,Laura_Buhler_120601075,Undirected,177,,1
Muzi_Guo_21012401,Vaclav_Sedlacek_1078584864,Undirected,823,,1
Muzi_Guo_21012401,Grace_Ga-Eun_Oh_1339907315,Undirected,941,,1
Muzi_Guo_21012401,Tatiana_Sokolova_1382349424,Undirected,975,,1
Jennifer_Law_21014079,Sagar_Bhadra_10503828,Undirected,99,,1
Jennifer_Law_21014079,Vicente_Bustamante_14902317,Undirected,140,,1
Jennifer_Law_21014079,Sally_G_21010151,Undirected,157,,1
Jennifer_Law_21014079,Muzi_Guo_21012401,Undirected,175,,1
Jennifer_Law_21014079,Laura_Buhler_120601075,Undirected,198,,1
Jennifer_Law_21014079,Vaclav_Sedlacek_1078584864,Undirected,824,,1
Jennifer_Law_21014079,Grace_Ga-Eun_Oh_1339907315,Undirected,942,,1
Jennifer_Law_21014079,Tatiana_Sokolova_1382349424,Undirected,976,,1
Florian_Striebich_36800961,Sagar_Bhadra_10503828,Undirected,100,,1
Florian_Striebich_36800961,Karim_Traboulsi_13621246,Undirected,121,,1
Florian_Striebich_36800961,Vicente_Bustamante_14902317,Undirected,141,,1
Florian_Striebich_36800961,William_Judge_218600487,Undirected,212,,1
Florian_Striebich_36800961,Tatiana_Sokolova_1382349424,Undirected,977,,1
Paul_Shin_48914321,Sally_G_21010151,Undirected,158,,1
Paul_Shin_48914321,Muzi_Guo_21012401,Undirected,176,,1
Paul_Shin_48914321,Jennifer_Law_21014079,Undirected,197,,1
Paul_Shin_48914321,Laura_Buhler_120601075,Undirected,225,,1
Paul_Shin_48914321,William_Judge_218600487,Undirected,226,,1
Jamie_Brownlee_61004163,Sagar_Bhadra_10503828,Undirected,101,,1
Jamie_Brownlee_61004163,Laura_Buhler_120601075,Undirected,230,,1
Jamie_Brownlee_61004163,Julien_Kervizic_500985020,Undirected,231,,1
Jamie_Brownlee_61004163,Daniela_Sh_506567418,Undirected,232,,1
Jamie_Brownlee_61004163,Rab_Freiha_509987108,Undirected,233,,1
Jamie_Brownlee_61004163,Itzel_Ram????rez_M._511465260,Undirected,234,,1
Jamie_Brownlee_61004163,Petra_Szal????ky_551565782,Undirected,235,,1
Jamie_Brownlee_61004163,Ulf_Bachmann_553857610,Undirected,236,,1
Laura_Buhler_120601075,Sagar_Bhadra_10503828,Undirected,102,,1
William_Judge_218600487,Laura_Buhler_120601075,Undirected,242,,1
William_Judge_218600487,Tatiana_Sokolova_1382349424,Undirected,979,,1
Julien_Kervizic_500985020,Sagar_Bhadra_10503828,Undirected,103,,1
Julien_Kervizic_500985020,Karim_Traboulsi_13621246,Undirected,123,,1
Julien_Kervizic_500985020,Vicente_Bustamante_14902317,Undirected,142,,1
Julien_Kervizic_500985020,Sally_G_21010151,Undirected,159,,1
Julien_Kervizic_500985020,Muzi_Guo_21012401,Undirected,178,,1
Julien_Kervizic_500985020,Florian_Striebich_36800961,Undirected,213,,1
Julien_Kervizic_500985020,Laura_Buhler_120601075,Undirected,243,,1
Julien_Kervizic_500985020,William_Judge_218600487,Undirected,259,,1
Julien_Kervizic_500985020,Vaclav_Sedlacek_1078584864,Undirected,825,,1
Julien_Kervizic_500985020,Tatiana_Sokolova_1382349424,Undirected,980,,1
Kartik_Ganju_502504522,Noelle_Teh_17802707,Undirected,148,,1
Kartik_Ganju_502504522,Kevin_Yili_Hong_1050352559,Undirected,791,,1
Kartik_Ganju_502504522,Wonkyung_Alice_Min_1129728962,Undirected,849,,1
Kartik_Ganju_502504522,Ying_Liu_1323164476,Undirected,926,,1
Kartik_Ganju_502504522,Soojin_Lee_100001219495605,Undirected,1627,,1
Kartik_Ganju_502504522,Byunghoon_Jin_100001592281396,Undirected,1825,,1
Kartik_Ganju_502504522,Alvin_Zheng_100006568625465,Undirected,2724,,1
Ermira_Zifla_503449965,Kartik_Ganju_502504522,Undirected,285,,1
Ermira_Zifla_503449965,Ying_Liu_1323164476,Undirected,927,,1
Ermira_Zifla_503449965,Alvin_Zheng_100006568625465,Undirected,2725,,1
Natalie_Kyung_Won_Kim_505160063,Hyunmyung_Timothy_Dho_1005633808,Undirected,686,,1
Natalie_Kyung_Won_Kim_505160063,Yoo-Hwan_Kim_1026491885,Undirected,747,,1
Natalie_Kyung_Won_Kim_505160063,????????????????????_1026774296,Undirected,756,,1
Natalie_Kyung_Won_Kim_505160063,Kwangjin_Lee_100001218700974,Undirected,1616,,1
Natalie_Kyung_Won_Kim_505160063,Gayoung_Kim_100001466116182,Undirected,1764,,1
Daniela_Sh_506567418,Sagar_Bhadra_10503828,Undirected,104,,1
Daniela_Sh_506567418,Karim_Traboulsi_13621246,Undirected,124,,1
Daniela_Sh_506567418,Vicente_Bustamante_14902317,Undirected,143,,1
Daniela_Sh_506567418,Sally_G_21010151,Undirected,160,,1
Daniela_Sh_506567418,Muzi_Guo_21012401,Undirected,179,,1
Daniela_Sh_506567418,Jennifer_Law_21014079,Undirected,199,,1
Daniela_Sh_506567418,Florian_Striebich_36800961,Undirected,214,,1
Daniela_Sh_506567418,Laura_Buhler_120601075,Undirected,244,,1
Daniela_Sh_506567418,William_Judge_218600487,Undirected,260,,1
Daniela_Sh_506567418,Julien_Kervizic_500985020,Undirected,269,,1
Daniela_Sh_506567418,Vaclav_Sedlacek_1078584864,Undirected,826,,1
Daniela_Sh_506567418,Tatiana_Sokolova_1382349424,Undirected,981,,1
Daisy_Kong_507788438,Sally_G_21010151,Undirected,161,,1
Daisy_Kong_507788438,Muzi_Guo_21012401,Undirected,180,,1
Daisy_Kong_507788438,Jennifer_Law_21014079,Undirected,200,,1
Rab_Freiha_509987108,Sagar_Bhadra_10503828,Undirected,105,,1
Rab_Freiha_509987108,Karim_Traboulsi_13621246,Undirected,125,,1
Rab_Freiha_509987108,Muzi_Guo_21012401,Undirected,181,,1
Rab_Freiha_509987108,Florian_Striebich_36800961,Undirected,215,,1
Rab_Freiha_509987108,Laura_Buhler_120601075,Undirected,245,,1
Rab_Freiha_509987108,Julien_Kervizic_500985020,Undirected,270,,1
Rab_Freiha_509987108,Daniela_Sh_506567418,Undirected,296,,1
Gord_Burtch_510235429,Dokyun_Lee_114331,Undirected,0,,1
Gord_Burtch_510235429,Noelle_Teh_17802707,Undirected,149,,1
